auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
0,I,FIAT CRONOS DRIVE1.3AT,39000.0,2023,001,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=1,45.45454545454545,Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,7965,64949.0,0.6004711388935934,55206.65,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,46.15384615384615,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2020,004517-9,8949,56433.0,0.4873035280775433,47968.049999999996,ok
3,RENAULT,LOGAN ZEN10MT,26000.0,2023,006,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=6,55.55555555555556,Renault,LOGAN Life Flex 1.0 12V 4p Mec.,2023,025289-1,8789,54521.0,0.47688046807652096,46342.85,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2021,004517-9,8949,59692.0,0.4271929236748643,50738.2,ok
5,VW,GOL MPI,25500.0,2023,013,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=13,60.0,VW - VolksWagen,Polo 1.0 MPI Flex 12V 5p,2023,005533-6,10107,69811.0,0.3652719485467906,59339.35,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,59.25925925925926,Ford,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p,2020,003412-6,6919,49120.0,0.48859934853420195,41752.0,ok
7,FORD,KA SE 1.0 SD C,23000.0,2019,016,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=16,50.0,Ford,Ka 1.0 S TiVCT Flex 5p,2019,003448-7,8149,43989.0,0.5228579872240787,37390.65,ok
9,RENAULT,SANDERO EXPR 10,18000.0,2019,020,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=20,63.63636363636363,Renault,SANDERO Authentique Flex 1.0 12V 5p,2019,025243-3,7810,40201.0,0.447750055968757,34170.85,ok
10,RENAULT,KWID ZEN 10MT,16000.0,2021,021,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=21,47.61904761904762,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2021,025266-2,8023,38646.0,0.41401438699994825,32849.1,ok
11,HYUNDAI,HB20 10M SENSE,36500.0,2024,023,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=23,47.61904761904762,Hyundai,HB20 Sense 1.0 Flex 12V Mec.,2024,015165-3,8854,68492.0,0.5329089528704082,58218.2,ok
12,RENAULT,KWID ZEN 10MT,17000.0,2018,024,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=24,47.61904761904762,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2018,025266-2,8023,35885.0,0.4737355440992058,30502.25,ok
13,FORD,KA SE 1.0 HA C,13000.0,2020,032,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=32,50.0,Ford,Ka 1.0 S TiVCT Flex 5p,2020,003448-7,8149,48766.0,0.26657917401468234,41451.1,ok
15,RENAULT,SANDERO AUTH 10,11000.0,2018,082,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=82,63.63636363636363,Renault,SANDERO Authentique Flex 1.0 12V 5p,2018,025243-3,7810,38396.0,0.2864881758516512,32636.6,ok
16,VW,VOYAGE 1.0L MC4,28000.0,2022,090,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=90,64.86486486486487,VW - VolksWagen,VOYAGE 1.0 Flex 12V 4p,2022,005492-5,8325,54721.0,0.5116865554357559,46512.85,ok
17,HYUNDAI,HB20 10M SENSE,26500.0,2021,092,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=92,47.61904761904762,Hyundai,HB20 Sense 1.0 Flex 12V Mec.,2021,015165-3,8854,54722.0,0.4842659259529988,46513.7,ok
18,FIAT,ARGO DRIVE 1.0,21000.0,2020,093,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=93,100.0,Fiat,ARGO DRIVE 1.0 6V Flex,2020,001494-0,7965,52404.0,0.4007327684909549,44543.4,ok
19,CHEVROLET,ONIX 10MT JOYE,21000.0,2019,135,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=135,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,004473-3,7691,49737.0,0.42222088183847034,42276.45,ok
20,CHEV,ONIX JOY,21000.0,2020,137,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=137,66.66666666666666,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2020,004473-3,7691,52985.0,0.3963385863923752,45037.25,ok
