Marca_raw,Modelo_raw,AnoModelo,Placa,Combustivel_raw,Cor
CHEV,ONIX 10MT LT2,2021,R__-___3,GASOL/ALC,BRANCA
RENAULT,KWID ZEN 2,2023,R__-___8,GASOL/ALC,BRANCA
FIAT,ARGO TREKKING 1.3AT,2024,S__-___9,GASOL/ALC,PRETA
FIAT,MOBI LIKE,2020,Q__-___4,GASOL/ALC,BRANCA
RENAULT,KWID ZEN 2,2024,S__-___7,GASOL/ALC,PRATA
PEUGEOT,2008 ALLURE EAT6,2022,R__-___4,GASOL/ALC,PRETA
FIAT,ARGO DRIVE 1.0,2020,Q__-___9,GASOL/ALC,BRANCA
RENAULT,LOGAN EXP 16 SCE,2018,G__-___3,GASOL/ALC,PRETA
CHEVROLET,ONIX 1.4AT LT,2018,F__-___8,GASOL/ALC,BRANCA
CHEV,SPIN 1.8L AT LTZ,2018,F__-___7,GASOL/ALC,BRANCA
I,BYD SEAL AWD GS 590EV,2025,U__-___9,ELETR/FONTE EXT,AZUL
CHEVROLET,ONIX 10MT JOYE,2019,Q__-___4,GASOL/ALC,PRATA
I,NISSAN SENTRA 20SV CVT,2018,F__-___7,GASOL/ALC,CINZA
HYUNDAI,HB20S10TA COMFOR,2023,G__-___4,GASOL/ALC,PRATA
I,VOLVO C40 6 PLUS,2024,S__-___3,ELETR/FONTE EXT,PRETA
NISSAN,KICKS SV CVT,2021,Q__-___2,GASOL/ALC,CINZA
CHEV,ONIX PLUS 10MT LT2,2022,R__-___7,GASOL/ALC,FANTASIA
FIAT,MOBI LIKE,2023,R__-___3,GASOL/ALC,BRANCA
FIAT,UNO ATTRACTIVE 1.0,2021,R__-___3,GASOL/ALC,BRANCA
HYUNDAI,HB20 10M EVOLUTI,2022,D__-___1,GASOL/ALC,CINZA
RENAULT,LOGAN EXPR 10,2018,P__-___4,GASOL/ALC,BRANCA
FIAT,MOBI EASY,2020,C__-___1,GASOL/ALC,PRETA
FORD,KA SE 1.0 SD C,2020,Q__-___6,GASOL/ALC,PRATA
FIAT,MOBI LIKE,2023,R__-___2,GASOL/ALC,BRANCA
VW,POLO HL AD,2019,G__-___3,GASOL/ALC,PRATA
FORD,ECOSPORT SE AT 1.5,2018,G__-___8,GASOL/ALC,BRANCA
BMW,X1 S20I M SPORT,2025,T__-___8,GASOLINA,AZUL
FORD,KA SE PLUS AT1.5HAC,2020,F__-___8,GASOL/ALC,CINZA
RENAULT,KWID INTENS 2,2025,S__-___5,GASOL/ALC,BRANCA
JEEP,COMPASS LIMITED TD,2023,C__-___6,SUCATA S/ DIREITO A DOCUMENTO,...
HONDA,HR-V TOURING,2025,T__-___5,SUCATA S/ DIREITO A DOCUMENTO,GASOL...
HONDA,CITY PERSONAL,2019,D__-___8,SUCATA S/ DIREITO A DOCUMENTO,GASO...
VW,NIVUS HL TSI AD,2021,C__-___0,GASOL/ALC,CINZA
BMW,320I,2020,G__-___7,GASOLINA,CINZA
I,NISSAN FRONTIER S MTX4,2023,R__-___5,DIESEL,PRETA
FIAT,TORO VOLC AT9 4X4,2022,F__-___7,DIESEL,BRANCA
I,NISSAN FRONTIER LE X4,2019,B__-___0,DIESEL,BRANCA
FIAT,ARGO 1.0,2023,R__-___4,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA C,2019,D__-___0,GASOL/ALC,PRATA
NISSAN,KICKS SL CVT,2018,B__-___1,GASOL/ALC,BRANCA
JEEP,COMPASS LONGITUDE F,2018,Q__-___5,GASOL/ALC,BRANCA
JEEP,RENEGADE SPORT AT,2021,G__-___2,GASOL/ALC,BRANCA
FIAT,PULSE AUDACE TF200,2023,R__-___8,GASOL/ALC,PRATA
I,TOYOTA HILUX SWSRXA4FD,2019,Q__-___8,DIESEL,CINZA
VW,SAVEIRO CS RB MF,2024,J__-___4,GASOL/ALC,BRANCA
JEEP,COMPASS TRAILHAWK D,2018,Q__-___4,DIESEL,BRANCA
VW,VOYAGE MPI,2023,F__-___4,GASOL/ALC,BRANCA
I,CHEV EQUINOX PREMIER,2019,Q__-___4,GASOLINA,BRANCA
HONDA,FIT EX CVT,2018,Q__-___4,GASOL/ALC,PRATA
