auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,46.15384615384615,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2021,004517-9,8949,59730.0,0.5524861878453039,50770.5,ok
1,RENAULT,KWID OUTSID 10MT,32000.0,2022,002,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=2,60.0,Renault,KWID OUTSIDER 1.0 Flex 12V 5p Mec.,2022,025279-4,8701,50265.0,0.6366258828210485,42725.25,ok
2,VW,SAVEIRO CD CROSS MA,52000.0,2020,009,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=9,59.25925925925926,VW - VolksWagen,Saveiro CROSS 1.6 T.Flex 16V CD,2020,005408-9,6941,82781.0,0.6281634674623404,70363.84999999999,ok
3,FIAT,MOBI LIKE,26500.0,2021,012,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=12,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,7540,46632.0,0.5682792931892263,39637.2,ok
4,FIAT,MOBI LIKE,28500.0,2024,013,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=13,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,7540,56411.0,0.5052206130010104,47949.35,ok
5,VW,NIVUS HL TSI,71000.0,2024,014,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=14,40.0,VW - VolksWagen,Polo 1.0 TSI Flex 12V 5p,2024,005534-4,10108,79068.0,0.8979612485455557,67207.8,nok
9,FORD,KA SE 1.0 HA C,22500.0,2020,023,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=23,50.0,Ford,Ka 1.0 S TiVCT Flex 5p,2020,003448-7,8149,48125.0,0.4675324675324675,40906.25,ok
10,RENAULT,SANDERO SEDITION,26000.0,2023,025,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=25,60.869565217391305,Renault,SANDERO S Edition Flex 1.0 12V 5p Mec.,2023,025309-0,9667,61201.0,0.4248296596460842,52020.85,ok
12,RENAULT,KWID ZEN 2,44500.0,2025,036,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=36,57.142857142857146,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2025,025266-2,8023,56737.0,0.7843206373266123,48226.45,ok
13,CHEV,PRISMA 10MT JOYE,25500.0,2019,037,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=37,54.54545454545455,GM - Chevrolet,PRISMA Sed. Joy/ LS 1.0 8V FlexPower 4p,2019,004358-3,4849,47314.0,0.5389525299065816,40216.9,ok
