Marca_raw,Modelo_raw,AnoModelo,Placa,Combustivel_raw,Cor
I,FIAT CRONOS DRIVE1.3AT,2023,S__-___5,GASOL/ALC,BRANCA
NISSAN,VERSA 16 S,2020,D__-___4,GASOL/ALC,CINZA
CHEV,ONIX PLUS 10MT LT1,2020,F__-___3,GASOL/ALC,VERMELHA
RENAULT,LOGAN ZEN10MT,2023,R__-___9,GASOL/ALC,PRETA
CHEV,ONIX 10MT LT2,2021,R__-___3,GASOL/ALC,BRANCA
VW,GOL MPI,2023,F__-___5,GASOL/ALC,PRATA
FORD,KA SE PLUS 1.0 HA C,2020,E__-___9,GASOL/ALC,VERMELHA
FORD,KA SE 1.0 SD C,2019,Q__-___9,GASOL/ALC,BRANCA
VW,GOL 1.0L MC4,2019,Q__-___9,GASOL/ALC,BRANCA
RENAULT,SANDERO EXPR 10,2019,Q__-___2,GASOL/ALC,BRANCA
RENAULT,KWID ZEN 10MT,2021,G__-___9,GASOL/ALC,PRETA
HYUNDAI,HB20 10M SENSE,2024,P__-___6,GASOL/ALC,PRATA
RENAULT,KWID ZEN 10MT,2018,G__-___4,GASOL/ALC,BEGE
FORD,KA SE 1.0 HA C,2020,Q__-___2,GASOL/ALC,BRANCA
HYUNDAI,CRETA 16A PULSE,2018,G__-___3,GASOL/ALC,MARROM
RENAULT,SANDERO AUTH 10,2018,P__-___3,GASOL/ALC,PRATA
VW,VOYAGE 1.0L MC4,2022,R__-___6,GASOL/ALC,PRATA
HYUNDAI,HB20 10M SENSE,2021,B__-___6,GASOL/ALC,BRANCA
FIAT,ARGO DRIVE 1.0,2020,Q__-___1,GASOL/ALC/GN,BRANCA
CHEVROLET,ONIX 10MT JOYE,2019,B__-___7,GASOL/ALC,BRANCA
CHEV,ONIX JOY,2020,Q__-___7,GASOL/ALC,PRETA
CHEVROLET,ONIX 10MT JOYE,2018,Q__-___1,GASOL/ALC,PRATA
VW,SAVEIRO CS RB MF,2026,S__-___4,SUCATA S/ DIREITO A DOCUMENTO,GASO...
FORD,KA SE 1.0 HA B,2018,P__-___8,GASOL/ALC,BRANCA
FORD,KA SE PLUS 1.5 HA C,2021,B__-___8,GASOL/ALC,BRANCA
VW,T CROSS CL TSI,2024,S__-___8,GASOL/ALC,PRATA
JEEP,COMPASS LIMITED D,2021,F__-___8,DIESEL,PRETA
I,VW JETTA GLI,2026,G__-___4,GASOLINA,AZUL
CHEVROLET,S10 MID DD4A,2019,Q__-___8,DIESEL,PRETA
CHEVROLET,MONTANA LS2,2020,F__-___4,GASOL/ALC,BRANCA
I,VW AMAROK V6 HIGH,2025,T__-___4,DIESEL,CINZA
I,TOYOTA HILUX CDSRVA4FD,2018,A__-___8,DIESEL,PRATA
VW,NOVA SAVEIRO RB MBVS,2020,Q__-___4,GASOL/ALC,VERMELHA
CHEVROLET,COBALT 18M LTZ,2018,K__-___4,GASOL/ALC,AZUL
VW,FOX CL MBV,2018,G__-___4,GASOL/ALC,BRANCA
I,PEUGEOT 208 ALLURE 1AT,2022,R__-___4,GASOL/ALC,PRATA
CHEV,ONIX PLUS 10TAT PR2,2025,J__-___8,GASOL/ALC,PRATA
I,AUDI Q5 2.0TFSI,2018,L__-___4,GASOLINA,PRETA
TOYOTA,COROLLA XEI 20,2023,F__-___4,GASOL/ALC,CINZA
I,TOYOTA HILUX SWSRXA4FD,2019,Q__-___8,DIESEL,PRETA
