auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 SE 12V Flex 5p Aut.,2019,003459-2,8440,49378.0,0.46579448337316215,41971.299999999996,ok
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 SE 12V Flex 5p Mec.,2019,003462-2,8441,49950.0,0.46046046046046046,42457.5,ok
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 SE Plus 12V Flex 5p Aut.,2019,003460-6,8442,51321.0,0.44815962276650884,43622.85,ok
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 SE Plus 12V Flex 5p Mec.,2019,003461-4,8443,49707.0,0.4627114893274589,42250.95,ok
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 Sedan SE 12V Flex 4p Aut.,2019,003464-9,8444,52754.0,0.4359858968040338,44840.9,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,63.63636363636363,Ford,Ka 1.0 SEL TiVCT Flex 5p,2018,003409-6,6914,40720.0,0.2824165029469548,34612.0,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,63.63636363636363,Ford,Ka+ Sedan 1.0 SEL TiCVT Flex 4p,2018,003413-4,6918,41566.0,0.27666843092912474,35331.1,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,54.054054054054056,Ford,Ka SEL 1.5 16V Flex 5p,2018,003411-8,6917,46120.0,0.24934952298352125,39202.0,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,48.648648648648646,Ford,Ka 1.0 S TiVCT Flex 5p,2018,003448-7,8149,39700.0,0.28967254408060455,33745.0,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,46.15384615384615,Ford,Ka 1.0 TECNO 12V Flex 5p,2018,003447-9,8122,39892.0,0.2882783515491828,33908.2,ok
4,CHEV,ONIX PLUS 10TAT PR2,44500.0,2023,020,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=20,45.283018867924525,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2023,004517-9,8949,65711.0,0.6772077734321499,55854.35,ok
4,CHEV,ONIX PLUS 10TAT PR2,44500.0,2023,020,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=20,44.827586206896555,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Aut.,2023,004501-2,8825,77585.0,0.5735644776696527,65947.25,ok
4,CHEV,ONIX PLUS 10TAT PR2,44500.0,2023,020,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=20,44.067796610169495,GM - Chevrolet,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2023,004502-0,8827,77685.0,0.5728261569157495,66032.25,ok
4,CHEV,ONIX PLUS 10TAT PR2,44500.0,2023,020,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=20,43.63636363636363,GM - Chevrolet,ONIX SEDAN Plus 1.0 12V TB Flex Aut.,2023,004499-7,8824,77196.0,0.5764547385874916,65616.59999999999,ok
