Marca_raw,Modelo_raw,AnoModelo,Placa,Combustivel_raw,Cor
CHEV,ONIX PLUS 10MT LT2,2021,R__-___1,GASOL/ALC,BRANCA
RENAULT,KWID OUTSID 10MT,2022,F__-___2,GASOL/ALC,VERMELHA
VW,SAVEIRO CD CROSS MA,2020,E__-___1,GASOL/ALC,BRANCA
FIAT,MOBI LIKE,2021,R__-___1,GASOL/ALC,BRANCA
FIAT,MOBI LIKE,2024,S__-___7,GASOL/ALC,CINZA
VW,NIVUS HL TSI,2024,E__-___1,GASOL/ALC,CINZA
NISSAN,VERSA 16UNIQUECVT,2018,F__-___1,GASOL/ALC,BRANCA
PEUGEOT,2008 ALLURE PK,2022,R__-___9,GASOL/ALC,BRANCA
RENAULT,KWID ZEN 10MT,2018,F__-___5,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA C,2020,Q__-___4,GASOL/ALC,CINZA
RENAULT,SANDERO SEDITION,2023,S__-___6,GASOL/ALC,PRATA
PEUGEOT,208 ACTIVE MT,2020,Q__-___0,GASOL/ALC,PRATA
RENAULT,KWID ZEN 2,2025,Q__-___0,GASOL/ALC,BRANCA
CHEV,PRISMA 10MT JOYE,2019,Q__-___4,GASOL/ALC,PRATA
FORD,KA  SE 1.0 HA C,2019,Q__-___3,GASOL/ALC,BRANCA
I,PEUGEOT 208 ACT PK1AT,2021,F__-___3,GASOL/ALC,PRETA
VW,VOYAGE MPI,2023,F__-___5,GASOL/ALC,CINZA
FIAT,MOBI LIKE,2024,S__-___1,GASOL/ALC,BRANCA
CHEVROLET,ONIX 1.4AT ADV,2019,P__-___2,GASOL/ALC,CINZA
JEEP,RENEGADE SPORT AT,2018,Q__-___2,GASOL/ALC,MARROM
FORD,KA SE 1.0 HA C,2020,Q__-___3,GASOL/ALC,BRANCA
CHEV,SPIN 1.8L AT ACT7,2019,P__-___2,GASOL/ALC,AZUL
VW,GOL MPI,2023,F__-___2,GASOL/ALC,BRANCA
VW,GOL MPI,2023,R__-___3,GASOL/ALC,PRETA
FORD,KA SE 1.0 SD C,2019,E__-___3,GASOL/ALC,BRANCA
FIAT,DOBLO ESSENCE 7L E,2020,Q__-___2,GASOL/ALC,BRANCA
CHEV,ONIX PLUS 10TAT PR2,2023,J__-___4,SUCATA S/ DIREITO A DOCUMENTO,...
VW,NIVUS HL TSI,2023,R__-___8,SUCATA S/ DIREITO A DOCUMENTO,GASOL/AL...
CHEVROLET,ONIX 10MT JOYE,2018,L__-___4,SUCATA S/ DIREITO A DOCUMENTO,...
FIAT,FIORINO 1.4 FLEX,2019,Q__-___4,SUCATA S/ DIREITO A DOCUMENTO,GA...
AUDI,Q3 1.4TFSI,2018,F__-___2,SUCATA S/ DIREITO A DOCUMENTO,GASOL/AL...
CITROEN,AIRCROSS SHINEAT,2018,F__-___4,GASOL/ALC,PRATA
RENAULT,KWID ZEN 10MT,2020,P__-___8,GASOL/ALC,BRANCA
CHEV,ONIX PLUS 10MT LT1,2024,S__-___8,GASOL/ALC,PRATA
I,VW AMAROK CD 4X4 HIGH,2018,G__-___8,DIESEL,PRATA
TOYOTA,ETIOS HB XPLUS AT,2019,E__-___4,GASOL/ALC,PRATA
I,FORD RANGER XLTCD3D4A,2024,S__-___4,DIESEL,BRANCA
RENAULT,KWID ZEN 2,2025,T__-___4,GASOL/ALC,PRATA
CHEVROLET,S10 LS DS4,2023,S__-___4,DIESEL,BRANCA
CHERY,QQ 1.0 LOOK,2018,G__-___4,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA C,2019,E__-___4,GASOL/ALC,PRETA
CHEVROLET,ONIX 1.0MT LT,2018,F__-___8,GASOL/ALC,PRETA
VW,POLO TRACK MA,2025,S__-___4,GASOL/ALC,PRATA
CHEVROLET,ONIX 1.0MT LT,2019,P__-___4,GASOL/ALC,PRETA
HYUNDAI,HB20 10M VISION,2022,R__-___8,GASOL/ALC,CINZA
FIAT,PULSE MT,2022,R__-___4,GASOL/ALC,PRETA
RENAULT,CAPTUR LIFE 16 A,2021,R__-___4,GASOL/ALC,BEGE
RENAULT,KARDIAN EVO AT,2025,T__-___4,GASOL/ALC,BRANCA
I,CHEV CRUZE LTZ NB AT,2022,R__-___4,GASOL/ALC,BRANCA
FIAT,FASTBACK IMPETUS,2023,S__-___8,GASOL/ALC,BRANCA
TOYOTA,CCROSS XRX HYBRID,2026,U__-___4,GAS/AL/ELE,BRANCA
FIAT,STRADA VOLCANO 13 CD,2023,R__-___4,GASOL/ALC,CINZA
I,TOYOTA HILUX CDSRXA4RD,2025,R__-___4,DIESEL,BRANCA
FIAT,TORO FREED AT9 4X4,2022,R__-___4,DIESEL,PRATA
FIAT,TORO FREEDOM AT,2019,O__-___4,GASOL/ALC,BRANCA
MMC,TRITON SPORT HPE S,2025,R__-___4,DIESEL,BRANCA
