Marca_raw,Modelo_raw,AnoModelo,Placa,Combustivel_raw,Cor
VW,VIRTUS AF,2020,E__-___8,GASOL/ALC,PRETA
FIAT,MOBI LIKE,2023,S__-___3,GASOL/ALC,VERMELHA
RENAULT,KWID OUTSID 10MT,2022,F__-___3,GASOL/ALC,BRANCA
CHEVROLET,ONIX 10MT JOYE,2019,Q__-___4,GASOL/ALC,PRATA
FIAT,MOBI LIKE,2023,R__-___5,GASOL/ALC,BRANCA
VW,VOYAGE 1.6L MB5,2019,A__-___3,GASOL/ALC,BRANCA
RENAULT,KWID ZEN 10MT,2022,R__-___0,GASOL/ALC,BRANCA
FORD,KA SE AT 1.5 SD C,2019,P__-___9,GASOL/ALC,PRETA
FORD,KA SE 1.0 SD B,2018,K__-___8,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA C,2019,Q__-___9,GASOL/ALC,PRATA
FORD,KA SE 1.0 SD C,2021,R__-___7,GASOL/ALC,BRANCA
I,BYD DOLPHIN MINI GS EV,2025,S__-___8,ELETR/FONTE EXT,PRETA
FORD,KA SE 1.0 HA B,2018,P__-___8,GASOL/ALC,BRANCA
I,FIAT CRONOS DRIVE1.3AT,2023,S__-___5,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA B,2018,G__-___2,GASOL/ALC,PRETA
VW,NOVO VOYAGE TL MBV,2018,Q__-___5,GASOL/ALC,PRATA
RENAULT,KWID INTENS 10MT,2019,F__-___1,GASOL/ALC,BRANCA
CHEVROLET,ONIX 10MT JOYE,2018,Q__-___3,GASOL/ALC,PRATA
FORD,KA SE 1.5 SD B,2018,Q__-___6,GASOL/ALC,PRATA
RENAULT,SANDERO EXPR 10,2018,P__-___5,GASOL/ALC,PRATA
RENAULT,SANDERO AUTH 10,2018,P__-___3,GASOL/ALC,PRATA
RENAULT,LOGAN ZEN10MT,2024,B__-___3,GASOL/ALC,BRANCA
RENAULT,SANDERO EXPR 10,2018,P__-___5,GASOL/ALC,PRATA
FIAT,ARGO DRIVE 1.0,2020,Q__-___1,GASOL/ALC/GN,BRANCA
VW,GOL 1.0L MC4,2020,Q__-___3,GASOL/ALC,BRANCA
CHEVROLET,ONIX 10MT JOYE,2018,Q__-___3,GASOL/ALC,PRETA
RENAULT,LOGAN EXPR 10,2018,G__-___3,GASOL/ALC,BRANCA
RENAULT,SANDERO AUTH 10,2018,Q__-___2,GASOL/ALC,BRANCA
CHEVROLET,ONIX 10MT JOYE,2018,F__-___4,GASOL/ALC,PRETA
FORD,KA SE 1.0 HA C,2020,Q__-___6,GASOL/ALC,BRANCA
FIAT,ARGO 1.0,2020,Q__-___3,GASOL/ALC,VERMELHA
RENAULT,SANDERO EXPR 10,2019,Q__-___9,GASOL/ALC,PRATA
FORD,KA SE 1.0 HA C,2020,Q__-___3,GASOL/ALC,BRANCA
FORD,KA SE 1.0 SD C,2020,Q__-___6,GASOL/ALC,PRATA
CHEV,ONIX 10MT LT2,2022,R__-___4,SUCATA S/ DIREITO A DOCUMENTO,GASOL...
VW,UP MOVE MCV,2019,Q__-___4,SUCATA S/ DIREITO A DOCUMENTO,GASOL/ALC...
CHEV,PRISMA 1.4MT LTZ,2018,Q__-___4,SUCATA S/ DIREITO A DOCUMENTO,GA...
TOYOTA,YARIS HB XL 13 AT,2019,P__-___8,SUCATA S/ DIREITO A DOCUMENTO,...
CHEV,SPIN 18L AT PREMIER,2022,R__-___4,SUCATA S/ DIREITO A DOCUMENTO,...
MMC,TRITON SPORT HPE,2018,P__-___8,SUCATA S/ DIREITO A DOCUMENTO,DIE...
HYUNDAI,HB20 1.0M UNIQUE,2019,F__-___8,GASOL/ALC,BRANCA
FORD,KA SE 1.0 HA B,2018,P__-___8,GASOL/ALC,BRANCA
RENAULT,DUSTER EXP16 SCE,2020,P__-___4,GASOL/ALC,PRATA
HONDA,FIT LX CVT,2018,P__-___4,GASOL/ALC,CINZA
HONDA,FIT EX CVT,2019,D__-___8,GASOL/ALC,BRANCA
I,TOYOTA HILUX CDSR A4FD,2024,S__-___8,DIESEL,BRANCA
I,VW AMAROK V6 EXTR AD4,2022,B__-___4,DIESEL,BRANCA
I,TOYOTA HILUX  CDSRXA4FD,2021,F__-___8,DIESEL,PRETA
FORD,KA SE 1.0 HA C,2020,Q__-___4,GASOL/ALC,CINZA
VW,FOX CONNECT MB,2019,L__-___4,GASOL/ALC,BRANCA
CHEV,ONIX 10MT LT1,2023,J__-___8,GASOL/ALC,BRANCA
HYUNDAI,CRETA 16A ATTITU,2021,F__-___4,GASOL/ALC,BRANCA
I,AUDI Q5 2.0TFSI,2018,L__-___4,GASOLINA,PRETA
HYUNDAI,CRETA 16A SMT PL,2021,J__-___4,GASOL/ALC,PRATA
TOYOTA,COROLLA XEI20FLEX,2019,E__-___4,GASOL/ALC,PRATA
JEEP,COMPASS LONG TF,2023,S__-___4,GASOL/ALC,CINZA
I,VOLVO XC40 T5H INSCRIP,2021,J__-___8,GAS/ELETR,VERMELHA
CHEVROLET,S10 LTZ DD4A,2023,R__-___8,DIESEL,PRETA
I,VW AMAROK V6 HIGH AC4,2018,F__-___4,DIESEL,BRANCA
FIAT,STRADA FREEDOM 13CS,2022,R__-___4,GASOL/ALC,PRATA
JEEP,COMPASS LIMITED D,2019,Q__-___4,DIESEL,AZUL
I,MINI COUNTRYMAN PHEV,2023,S__-___8,GAS/ELETR,CINZA
