auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
2,FORD,KA SE 1.5 SD C,23000.0,2019,006,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=6,60.0,Ford,Ka 1.5 SE 12V Flex 5p Aut.,2019,003459-2,8440,49378.0,0.46579448337316215,41971.299999999996,ok
3,FORD,KA SEL 1.0 HA B,11500.0,2018,007,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=7,63.63636363636363,Ford,Ka 1.0 SEL TiVCT Flex 5p,2018,003409-6,6914,40720.0,0.2824165029469548,34612.0,ok
4,CHEV,ONIX PLUS 10TAT PR2,44500.0,2023,020,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=20,45.283018867924525,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2023,004517-9,8949,65711.0,0.6772077734321499,55854.35,ok
9,CHEVROLET,ONIX 10MT JOYE,22500.0,2019,045,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=45,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,004473-3,7691,49737.0,0.45237951625550393,42276.45,ok
10,FIAT,MOBI LIKE,27500.0,2021,046,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=46,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,7540,45671.0,0.6021326443476166,38820.35,ok
11,FIAT,SIENA 1.0,32000.0,2021,048,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=48,50.0,Fiat,MOBI EASY 1.0 Fire Flex 5p.,2021,001463-0,7538,42234.0,0.7576833830563053,35898.9,ok
12,CHEVROLET,ONIX 10MT JOYE,26000.0,2018,050,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=50,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2018,004473-3,7691,46233.0,0.5623688707200485,39298.049999999996,ok
14,FIAT,UNO DRIVE 1.0,10000.0,2018,055,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=55,81.81818181818181,Fiat,MOBI DRIVE GSR 1.0 Flex 6V 5p,2018,001482-6,7920,40006.0,0.24996250562415637,34005.1,ok
15,CHEVROLET,ONIX 10MT JOYE,22000.0,2018,057,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=57,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2018,004473-3,7691,46233.0,0.4758505829169641,39298.049999999996,ok
17,RENAULT,KWID INTENS 10MT,19000.0,2018,103,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=103,40.0,Renault,KWID Life 1.0 Flex 12V 5p Mec.,2018,025265-4,8022,31298.0,0.6070675442520289,26603.3,ok
18,RENAULT,SANDERO EXPR 10,11500.0,2018,136,7648,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7648&loteNumero=136,63.63636363636363,Renault,SANDERO Authentique Flex 1.0 12V 5p,2018,025243-3,7810,38396.0,0.2995103656630899,32636.6,ok
