auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
1,FIAT,MOBI LIKE,31500.0,2023,003,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=3,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,7540,53281.0,0.5912051200240236,45288.85,ok
2,RENAULT,KWID OUTSID 10MT,20000.0,2022,004,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=4,60.0,Renault,KWID OUTSIDER 1.0 Flex 12V 5p Mec.,2022,025279-4,8701,50524.0,0.39585147652600744,42945.4,ok
3,CHEVROLET,ONIX 10MT JOYE,23500.0,2019,006,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=6,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,004473-3,7691,49737.0,0.47248527253352635,42276.45,ok
4,FIAT,MOBI LIKE,22000.0,2023,007,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=7,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,7540,53281.0,0.41290516319138154,45288.85,ok
5,VW,VOYAGE 1.6L MB5,23500.0,2019,010,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=10,60.0,VW - VolksWagen,VOYAGE 1.6 MSI Flex 8V 4p,2019,005493-3,8326,47330.0,0.49651383900274665,40230.5,ok
6,RENAULT,KWID ZEN 10MT,20000.0,2022,012,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=12,47.61904761904762,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2022,025266-2,8023,44648.0,0.4479483963447411,37950.799999999996,ok
7,FORD,KA SE AT 1.5 SD C,28000.0,2019,013,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=13,53.06122448979592,Ford,Ka 1.5 Sedan SE 12V Flex 4p Aut.,2019,003464-9,8444,52754.0,0.5307654395875194,44840.9,ok
8,FORD,KA SE 1.0 SD B,17000.0,2018,015,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=15,50.0,Ford,Ka 1.0 S TiVCT Flex 5p,2018,003448-7,8149,39700.0,0.4282115869017632,33745.0,ok
9,FORD,KA SE 1.0 HA C,20000.0,2019,017,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=17,52.63157894736842,Ford,Ka 1.0 SEL TiVCT Flex 5p,2019,003409-6,6914,44347.0,0.45098879292849575,37694.95,ok
10,FORD,KA SE 1.0 SD C,18000.0,2021,031,7724,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7724&loteNumero=31,50.0,Ford,Ka 1.0 S TiVCT Flex 5p,2021,003448-7,8149,49986.0,0.3601008282319049,42488.1,ok
