auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
0,I,FIAT CRONOS DRIVE1.3AT,39000.0,2023,001,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=1,45.45454545454545,Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,7965,64949.0,0.6004711388935934,55206.65,ok
0,I,FIAT CRONOS DRIVE1.3AT,39000.0,2023,001,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=1,41.509433962264154,Fiat,ARGO DRIVE S-DESIGN 1.3 8V Flex,2023,001540-7,9543,74295.0,0.5249343832020997,63150.75,ok
0,I,FIAT CRONOS DRIVE1.3AT,39000.0,2023,001,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=1,40.816326530612244,Fiat,ARGO DRIVE 1.3 8V Flex Aut.,2023,001561-0,10392,80070.0,0.4870738104158861,68059.5,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,46.15384615384615,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2020,004517-9,8949,56433.0,0.4873035280775433,47968.049999999996,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V Flex 4p Mec.,2020,004518-7,8950,57806.0,0.47572916306265783,49135.1,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Aut.,2020,004501-2,8825,66023.0,0.41652151522954123,56119.549999999996,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Mec.,2020,004500-4,8826,61985.0,0.44365572315882873,52687.25,ok
2,CHEV,ONIX PLUS 10MT LT1,27500.0,2020,004,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=4,44.827586206896555,GM - Chevrolet,ONIX SEDAN Plus LTZ 1.0 12V TB Flex Aut.,2020,004502-0,8827,66097.0,0.41605519161232735,56182.45,ok
3,RENAULT,LOGAN ZEN10MT,26000.0,2023,006,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=6,55.55555555555556,Renault,LOGAN Life Flex 1.0 12V 4p Mec.,2023,025289-1,8789,54521.0,0.47688046807652096,46342.85,ok
3,RENAULT,LOGAN ZEN10MT,26000.0,2023,006,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=6,55.55555555555556,Renault,LOGAN Zen Flex 1.0 12V 4p Mec.,2023,025290-5,8790,55857.0,0.46547433625149937,47478.45,ok
3,RENAULT,LOGAN ZEN10MT,26000.0,2023,006,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=6,55.55555555555556,Renault,LOGAN Zen Flex 1.6 16V 4p Aut.,2023,025292-1,8791,70653.0,0.36799569728107795,60055.049999999996,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,2021,004519-5,8988,60432.0,0.42196187450357425,51367.2,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH 1.0 12V TB Flex 5p Aut.,2021,004511-0,8889,67003.0,0.3805799740310135,56952.549999999996,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2021,004517-9,8949,59692.0,0.4271929236748643,50738.2,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH LT 1.0 12V TB Flex 5p Aut.,2021,004514-4,8890,69097.0,0.3690464130135896,58732.45,ok
4,CHEV,ONIX 10MT LT2,25500.0,2021,009,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=9,47.05882352941177,GM - Chevrolet,ONIX HATCH LT 1.0 12V TB Flex 5p Mec.,2021,004512-8,8891,67262.0,0.379114507448485,57172.7,ok
5,VW,GOL MPI,25500.0,2023,013,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=13,60.0,VW - VolksWagen,Polo 1.0 MPI Flex 12V 5p,2023,005533-6,10107,69811.0,0.3652719485467906,59339.35,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,59.25925925925926,Ford,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p,2020,003412-6,6919,49120.0,0.48859934853420195,41752.0,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,48.78048780487805,Ford,Ka 1.0 S TiVCT Flex 5p,2020,003448-7,8149,48766.0,0.4921461674117213,41451.1,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,48.0,Ford,Ka 1.0 SE/SE Plus TiVCT Flex 5p,2020,003408-8,6915,49007.0,0.4897259575162732,41655.95,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,48.0,Ford,Ka 1.5 SE Plus 12V Flex 5p Aut.,2020,003460-6,8442,56910.0,0.42171850289931473,48373.5,ok
6,FORD,KA SE PLUS 1.0 HA C,24000.0,2020,014,7696,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7696&loteNumero=14,47.05882352941177,Ford,Ka 1.5 Sedan SE 12V Flex 4p Aut.,2020,003464-9,8444,54685.0,0.43887720581512296,46482.25,ok
